32889	32889	195
164581	164581	1,673
19680	19680	107
2219	2219	7,679
482285	482285	8
15787	15787	623
2722	2722	3,295
132784	132784	29
2264103	2264103	28
1079	1079	19,856
11122	11122	64
103779	103779	215
164571	164571	676
1550	1550	72,885
1036298	1036298	29
17629	17629	1,137
17630	17630	433
15697	15697	995
7031	7031	6,490
338135	338135	4,418
263571	263571	938
92423	92423	309
3110381	3110381	3
300491	300491	46
2799530	2799530	64
1122744	1122744	1,285
1319584	1319584	134
4429	4429	846
3922	3922	7,297
2308	2308	439
2307	2307	4,607
8621	8621	884
164586	164586	390
8622	8622	217
9970	9970	358
164590	164590	2,014
10829	10829	895
7670	7670	188
12652	12652	225
36223	36223	59
75160	75160	929
22635	22635	1,495
3252	3252	7,973
3255	3255	1,734
8512	8512	207
19133	19133	373
18186	18186	515
30273	30273	257
32071	32071	531
102837	102837	296
25670	25670	0
3076	3076	3,243
1014636	1014636	306
9585	9585	5,920
55453	55453	202
3439	3439	8,715
34927	34927	589
11169	11169	4,566
7616	7616	9,720
15547	15547	2,163
164605	164605	382
12942	12942	5
1975533	1975533	35
52097	52097	499
164610	164610	100
12072	12072	577
604043	604043	219
5732	5732	2,662
40755	40755	860
55571	55571	107
34924	34924	505
13601	13601	14
28810	28810	290
16712	16712	166
1943	1943	9,119
144237	144237	672
164615	164615	12
25217	25217	811
164618	164618	919
12607	12607	312
19053	19053	221
1025266	1025266	102
5749	5749	20,775
5670	5670	3,908
1288025	1288025	151
601522	601522	188
4830	4830	4,675
28807	28807	57
164627	164627	251
42555	42555	104
55555	55555	245
10585	10585	23
3741	3741	1,385
20182	20182	227
2732394	2732394	5,313
16948	16948	15
22409	22409	340
4914	4914	24,584
3059	3059	3,286
4536	4536	2,052
164645	164645	254
75216	75216	564
116906	116906	391
1662	1662	5,475
1662	1662	5,475
2810	2810	15,767
7633	7633	2,086
15305	15305	5,873
8916	8916	62
6238	6238	201
3724	3724	1,037
3503	3503	2,339
82640	82640	968
1210593	1210593	1,188
469513	469513	723
68924	68924	2,496
1871618	1871618	150
1479421	1479421	27
1479421	1479421	27
5294	5294	5,319
207964	207964	444
259977	259977	11
326093	326093	81
164778	164778	2,750
216631	216631	532
496167	496167	53
164788	164788	652
33962	33962	200
25544	25544	121
12250	12250	1,199
1428963	1428963	389
1174	1174	1,007
75307	75307	32
12251	12251	229
164663	164663	78
8703	8703	286
164664	164664	8,340
2507112	2507112	200
9027	9027	3,348
1789632	1789632	14
42537	42537	525
31961	31961	181
3475	3475	1,563
69033	69033	309
397638	397638	209
5107	5107	3,166
10365	10365	1,868
