37914	37914	291
222996	222996	38
8474	8474	606
6497	6497	6,099
435054	435054	593
66687	66687	67
2194532	2194532	1
162213	162213	575
1864	1864	17,646
1266513	1266513	1,008
36994	36994	339
6176	6176	5,235
20859	20859	1,423
36995	36995	700
6280	6280	838
418408	418408	32
48199	48199	277
292085	292085	68
26676	26676	824
9699	9699	1,268
139538	139538	198
207350	207350	2,035
787232	787232	357
277579	277579	5,435
13769	13769	1,915
255329	255329	647
162238	162238	4,759
2003441	2003441	444
1173	1173	1,158
5703	5703	1,169
21800	21800	924
1269	1269	3,772
11012	11012	0
5063	5063	1,859
6699	6699	1,811
5554	5554	72
1463	1463	25,495
1464	1464	3,316
162293	162293	7,730
3235663	3235663	0
8049	8049	1,068
15656	15656	9,708
6846	6846	1,201
427415	427415	1,192
162323	162323	22
528320	528320	112
906439	906439	2
16957	16957	124
45800	45800	29
9021	9021	1,738
6109	6109	58
8904	8904	1,237
139684	139684	3
1760	1760	15,181
10136	10136	313
162352	162352	436
57725	57725	145
20237	20237	1,358
397482	397482	296
18641	18641	1,190
162370	162370	93
393116	393116	318
207453	207453	453
4293	4293	1,120
10486	10486	2,509
626805	626805	17
139705	139705	262
1503508	1503508	56
1497	1497	4,468
162407	162407	3,455
8086	8086	1,346
111935	111935	79
2905344	2905344	7
2347125	2347125	27
2835605	2835605	15
10020	10020	505
32350	32350	476
10021	10021	816
16264	16264	634
20245	20245	198
139059	139059	49
32346	32346	470
157337	157337	2,705
6536	6536	933
1258	1258	3,296
162469	162469	2,033
4910	4910	1,499
2815	2815	17,403
6317	6317	25
3899	3899	122
14809	14809	329
320536	320536	280
162522	162522	2,531
209865	209865	1,129
51037	51037	86
3894	3894	1,311
1052	1052	145,718
1052	1052	145,717
157238	157238	578
1052	1052	145,720
29057	29057	454
36948	36948	311
162574	162574	5,987
8533	8533	401
5626	5626	722
54167	54167	112
965848	965848	25
1094916	1094916	118
139880	139880	209
2843126	2843126	25
86503	86503	243
6036	6036	308
13768	13768	2,212
718707	718707	343
57788	57788	61
23504	23504	322
1304385	1304385	7,870
1612	1612	20,674
5410	5410	7,746
5410	5410	7,748
14542	14542	279
10544	10544	1,498
15602	15602	371
45845	45845	973
430031	430031	44
10845	10845	184
14303	14303	3,546
605714	605714	296
45835	45835	114
162246	162246	805
6107	6107	263
1033	1033	42,843
34408	34408	381
1683	1683	2,373
10427	10427	699
7110	7110	43
57668	57668	59
372610	372610	400
30583	30583	409
9700	9700	511
9119	9119	6
9120	9120	6
7984	7984	1,475
7534	7534	2,329
162270	162270	524
3217	3217	46
1040010	1040010	92
4048	4048	1,272
292250	292250	69
292250	292250	69
26746	26746	392
7172	7172	1,164
162276	162276	312
1072191	1072191	128
2739	2739	4,166
1929	1929	4,779
162287	162287	252
1480	1480	6,293
162295	162295	1,307
9185	9185	6,559
480085	480085	798
10545	10545	553
225826	225826	58
162301	162301	1,122
162304	162304	312
4859	4859	852
162322	162322	505
162320	162320	758
8296	8296	2,349
14191	14191	3,980
2889	2889	11,555
2807	2807	18,615
2073296	2073296	96
33330	33330	40
5321	5321	662
3997	3997	12,296
2056959	2056959	157
11235	11235	74
34420	34420	409
3225	3225	593
1526	1526	6,551
6662	6662	11
6142	6142	859
23501	23501	412
280350	280350	532
9922	9922	285
6752	6752	1,380
15306	15306	69
50996	50996	890
3818	3818	1,561
3821	3821	733
43690	43690	1,703
4156	4156	4,837
3211	3211	577
9070	9070	5,234
110833	110833	85
8099	8099	207
3925	3925	2,139
4102	4102	144
4103	4103	1,138
61882	61882	337
776011	776011	71
3221	3221	120
3222	3222	1,791
5093	5093	1,876
2286162	2286162	203
2161	2161	43
162359	162359	3,630
23804	23804	465
48234	48234	56
2649056	2649056	188
13310	13310	500
162361	162361	1,268
2911	2911	6,382
1058	1058	15,601
3047	3047	6,432
3048	3048	1,344
5275	5275	5,996
98040	98040	27
162368	162368	664
98047	98047	56
98047	98047	56
53976	53976	153
16750	16750	787
5050	5050	453
162371	162371	168
6867	6867	705
7787	7787	862
779410	779410	21
12323	12323	357
53959	53959	487
34511	34511	1,067
8802	8802	217
4832	4832	5,164
110293	110293	202
3817	3817	3,279
34505	34505	261
33306	33306	154
162380	162380	1,731
4659	4659	95
2339	2339	851
9310	9310	891
1614899	1614899	80
602075	602075	46
11913	11913	66
7094	7094	4,940
1835	1835	32,553
1838	1838	8,935
20327	20327	460
12998	12998	513
2825	2825	1,850
207453	207453	453
48171	48171	232
34491	34491	124
34491	34491	124
79175	79175	1,018
6820	6820	166
57730	57730	0
38405	38405	298
21125	21125	974
2443	2443	593
8323	8323	602
38410	38410	8
3864	3864	1,569
35645	35645	135
6414	6414	3,151
162399	162399	1,878
162399	162399	1,878
45779	45779	41
4229	4229	160
162449	162449	682
25299	25299	272
1586	1586	30,473
1868767	1868767	115
1868767	1868767	115
34433	34433	114
369839	369839	0
34434	34434	290
6315	6315	320
6313	6313	927
1539	1539	4,234
29779	29779	4,534
29779	29779	4,534
10226	10226	1,290
9643	9643	3,391
15138	15138	551
15139	15139	1,057
37030	37030	761
54064	54064	264
2640	2640	26,201
1338384	1338384	376
1366317	1366317	78
26203	26203	1,047
162415	162415	1,315
45768	45768	295
50910	50910	107
4960	4960	7,742
162419	162419	5,243
1277	1277	20,629
1280	1280	261
4647	4647	10,958
1243143	1243143	116
162422	162422	3,553
45888	45888	320
247077	247077	2,988
16022	16022	555
1379355	1379355	164
26206	26206	1,580
97884	97884	292
19400	19400	591
422101	422101	295
422101	422101	295
30814	30814	4
1849992	1849992	28
15218	15218	14
8100	8100	1,327
22230	22230	475
1938430	1938430	5
9226	9226	1,957
222879	222879	182
467034	467034	134
46001	46001	220
9186	9186	3,310
3032	3032	11,835
2269717	2269717	17
79769	79769	217
162433	162433	3,772
1798765	1798765	1
17256	17256	1,301
26780	26780	550
24901	24901	213
2068	2068	13,394
29114	29114	128
7135	7135	501
137969	137969	422
48342	48342	213
162444	162444	430
703748	703748	194
940700	940700	4
730919	730919	32
2878127	2878127	0
111755	111755	69
305763	305763	81
2930	2930	194
88289	88289	80
162395	162395	6,065
5844	5844	4,026
3450	3450	2,974
10317	10317	547
20331	20331	77
4953	4953	592
7893	7893	34
7894	7894	2
62258	62258	1
15560	15560	115
4510	4510	4,003
255188	255188	3,009
40195	40195	78
5079	5079	2,477
2089402	2089402	11
67128	67128	178
11044	11044	42
45970	45970	361
2615	2615	6,627
8281	8281	3,250
2041	2041	5,083
323542	323542	620
1729	1729	12,472
2043	2043	3,462
420506	420506	2,033
4787	4787	3,311
751355	751355	13
2107983	2107983	90
48414	48414	464
3051	3051	4,339
1278625	1278625	70
162479	162479	50,138
1356007	1356007	158
6753	6753	755
162480	162480	1,090
34333	34333	113
15868	15868	1,739
2018	2018	6,872
162405	162405	406
1076811	1076811	60
349297	349297	434
10532	10532	648
162486	162486	4,110
21828	21828	324
1018680	1018680	84
73102	73102	367
7693	7693	199
14236	14236	286
54472	54472	555
1350474	1350474	101
14697	14697	88
16266	16266	2
2816	2816	2,728
16727	16727	608
7788	7788	699
2595043	2595043	8
808773	808773	5
11874	11874	3,118
3727	3727	4,010
16145	16145	240
40137	40137	904
10066	10066	826
5553	5553	3,414
10067	10067	668
88650	88650	268
642181	642181	4
35735	35735	145
24150	24150	500
162513	162513	424
3229	3229	408
13677	13677	96
162514	162514	617
3244	3244	348
231810	231810	1,575
112444	112444	172
5968	5968	1,953
3570	3570	4,782
162523	162523	107
29088	29088	816
293742	293742	0
11045	11045	454
6547	6547	4,729
162534	162534	1,096
162536	162536	2,193
31480	31480	525
2718842	2718842	656
138412	138412	2
51045	51045	381
20241	20241	3,942
5469	5469	160
5466	5466	3,391
162547	162547	2,299
3393	3393	1,202
46000	46000	1,192
303464	303464	139
16288	16288	96
43814	43814	10
30534	30534	259
290068	290068	404
13513	13513	33
8667	8667	3,114
13000	13000	113
4394	4394	2,303
4397	4397	1,045
4395	4395	1,314
4396	4396	1,534
4393	4393	1,948
11856	11856	53
993971	993971	101
54324	54324	46
5911	5911	2,696
26716	26716	190
162562	162562	677
1603	1603	9,454
26784	26784	135
4528	4528	1,870
8925	8925	297
1627733	1627733	169
79923	79923	102
841720	841720	245
254688	254688	5
382949	382949	15
24910	24910	145
4804	4804	1,691
4691	4691	1,197
15870	15870	1,688
1004596	1004596	143
62313	62313	570
162581	162581	467
884706	884706	1
1137783	1137783	139
34633	34633	229
440300	440300	0
7990	7990	4,911
4999	4999	2,679
7412	7412	6,698
1879	1879	3,403
162591	162591	599
162592	162592	1,530
1984836	1984836	13
14164	14164	1,194
10995	10995	52
1494	1494	6,971
9857	9857	1,542
400554	400554	119
24148	24148	1,130
1195989	1195989	15
3321	3321	3,351
2444775	2444775	122
3249	3249	886
14989	14989	743
1963148	1963148	0
2572	2572	2,498
2569	2569	1,003
19860	19860	82
10200	10200	239
2571	2571	1,373
2614	2614	23,552
8194	8194	611
2698	2698	5
140073	140073	20
61953	61953	226
2150821	2150821	1
61953	61953	226
2150821	2150821	1
11151	11151	3,165
