6671	6671	1,555
68069	68069	481
3924	3924	391
280729	280729	1,596
1033453	1033453	4
114488	114488	291
582890	582890	113
114591	114591	1
3469	3469	820
1449	1449	4,406
9359	9359	744
63052	63052	99
1663	1663	15,883
29683	29683	600
3027	3027	2,521
19970	19970	493
16734	16734	2,016
9405	9405	3,779
12962	12962	369
36024	36024	679
2753	2753	5,770
2761	2761	3,299
2756	2756	251
2412786	2412786	5,240
13202	13202	20
36027	36027	327
32199	32199	54
142877	142877	24
7006	7006	736
458345	458345	124
152769	152769	5
163622	163622	1,261
11384	11384	273
44251	44251	40
16423	16423	625
301043	301043	31
11485	11485	1,134
13500	13500	420
1089087	1089087	48
2214294	2214294	4
163632	163632	738
1848073	1848073	36
1757570	1757570	15
51716	51716	905
44239	44239	563
163631	163631	2,176
290183	290183	521
24747	24747	618
40457	40457	335
38827	38827	169
1054040	1054040	79
415128	415128	2,338
81566	81566	350
90555	90555	238
2763941	2763941	94
34110	34110	26
238105	238105	1,945
500320	500320	7
986797	986797	13
51829	51829	578
163638	163638	866
163640	163640	7,105
157236	157236	18,201
1215774	1215774	3
15718	15718	358
13502	13502	58
920392	920392	89
163649	163649	126
766459	766459	17
163658	163658	5,328
11963	11963	910
3776	3776	3,061
4325	4325	516
3695	3695	2,629
3696	3696	59
166250	166250	1,071
8221	8221	1,404
2616766	2616766	0
163664	163664	4,079
101569	101569	2
5027	5027	596
9102	9102	114
1528623	1528623	18
1468647	1468647	140
163667	163667	1,882
436823	436823	391
73899	73899	12
528217	528217	319
1060	1060	12,878
163683	163683	227
5311	5311	2,738
22966	22966	596
366498	366498	101
870337	870337	71
29064	29064	203
73863	73863	126
69001	69001	132
12965	12965	1,478
1383659	1383659	257
733572	733572	38
1948429	1948429	192
1202	1202	2,334
26858	26858	58
26857	26857	13
8214	8214	37
273040	273040	0
3829	3829	6
11019	11019	2,669
100618	100618	260
163732	163732	540
2645259	2645259	19
12784	12784	84
32170	32170	495
587142	587142	90
9236	9236	1,647
14782	14782	254
2375961	2375961	4,671
17623	17623	163
4674	4674	4,132
4677	4677	3,292
9110	9110	876
2751	2751	4,139
5650	5650	3,372
2534	2534	4,069
81090	81090	50
7923	7923	618
7924	7924	264
29666	29666	0
4969	4969	10,079
12505	12505	2,813
14038	14038	476
834572	834572	136
283441	283441	527
163749	163749	2,053
15721	15721	783
659480	659480	326
1689	1689	16,764
19102	19102	33
487665	487665	59
403275	403275	518
4841	4841	1,869
996562	996562	1
14578	14578	353
163773	163773	534
163782	163782	853
46365	46365	76
3398	3398	1,335
1034339	1034339	558
163847	163847	1,098
4034	4034	176
4031	4031	2,197
4032	4032	9
163853	163853	3,736
1193826	1193826	70
614583	614583	185
163909	163909	414
5509	5509	2,374
13133	13133	445
17177	17177	107
10667	10667	4,842
163755	163755	1,855
68017	68017	220
163757	163757	1,339
58702	58702	191
81160	81160	234
19103	19103	73
163761	163761	6,243
44219	44219	1,121
10147	10147	1,159
17404	17404	230
163766	163766	122
7570	7570	25
3240	3240	26,422
30401	30401	719
10564	10564	5,739
142481	142481	23
4062	4062	3,014
1669	1669	23,701
1671	1671	15,056
1667	1667	3,588
3866	3866	6,179
1670	1670	8,251
12787	12787	4,067
163779	163779	223
1048815	1048815	780
13205	13205	513
1750182	1750182	9
163778	163778	2,948
8556	8556	1,020
10121	10121	604
549750	549750	6
489490	489490	9
81236	81236	31
1307	1307	28,935
244482	244482	863
3114001	3114001	28
3128	3128	9,569
163796	163796	3,253
163797	163797	423
5437	5437	1,186
3012	3012	13,526
11327	11327	425
163813	163813	670
10914	10914	2,801
13575	13575	51
44195	44195	1,265
163820	163820	2,586
5265	5265	943
163824	163824	541
865968	865968	42
1811868	1811868	366
163825	163825	7,921
413634	413634	431
1047754	1047754	77
8427	8427	1,477
2525231	2525231	168
74088	74088	191
54875	54875	592
2020	2020	8,960
19807	19807	1,159
269727	269727	227
550530	550530	241
20663	20663	650
5566	5566	307
4502	4502	613
157262	157262	596
20785	20785	214
163831	163831	689
12280	12280	917
10727	10727	99
16225	16225	973
23455	23455	32
346923	346923	1,266
591585	591585	80
30404	30404	2,985
48901	48901	138
9112	9112	1,992
163835	163835	442
31265	31265	1,464
4504	4504	2,149
114361	114361	21
163837	163837	893
7463	7463	4,486
586549	586549	159
14465	14465	2,116
3364	3364	10,093
3361	3361	723
3366	3366	393
24431	24431	140
3215	3215	708
163842	163842	839
706475	706475	83
51921	51921	238
8455	8455	2,799
62923	62923	412
1126	1126	109
26932	26932	485
528811	528811	171
2279	2279	5,293
59121	59121	356
55381	55381	583
163886	163886	4,741
44465	44465	45
32922	32922	1,131
5927	5927	2,864
6539	6539	52
9754	9754	81
336380	336380	778
3681	3681	9,984
2544000	2544000	188
1622	1622	8
10242	10242	81
63497	63497	16
12727	12727	4,667
163864	163864	634
5597	5597	854
2265230	2265230	0
1483	1483	33,929
1484	1484	1,977
11022	11022	1,285
68607	68607	39
163869	163869	2,564
49128	49128	247
487239	487239	1,711
134137	134137	671
390638	390638	131
28893	28893	5,339
4124	4124	992
163872	163872	935
18112	18112	165
6460	6460	594
20679	20679	1
2394652	2394652	149
49105	49105	655
1558296	1558296	0
163880	163880	2,755
163881	163881	826
1155761	1155761	260
55434	55434	53
163883	163883	4,451
2074	2074	3,749
5930	5930	1,533
21030	21030	128
38950	38950	417
2953389	2953389	15
204219	204219	269
82304	82304	112
3676	3676	3,197
561784	561784	801
3140	3140	5,542
436931	436931	904
1100944	1100944	2,738
1959	1959	5,835
5978	5978	11,868
163906	163906	5,684
52138	52138	39
102727	102727	41
4506	4506	480
13256	13256	1,612
13692	13692	843
2357867	2357867	62
55167	55167	492
34086	34086	676
10182	10182	347
1402221	1402221	3
101674	101674	313
34089	34089	56
157320	157320	618
18923	18923	13
163928	163928	1,609
5355	5355	7,232
7474	7474	488
1306853	1306853	3
34870	34870	5
22869	22869	1,245
68556	68556	142
240179	240179	719
1015	1015	29,180
570550	570550	9,048
1023	1023	11,186
1016	1016	17,915
1021	1021	9,758
8127	8127	2,600
157327	157327	9,887
12775	12775	1,940
709075	709075	24
279556	279556	1,374
210064	210064	1,799
143644	143644	62
37447	37447	127
40602	40602	261
241309	241309	2,314
733623	733623	131
78686	78686	11
34862	34862	116
9650	9650	2,797
11262	11262	995
484052	484052	11
55271	55271	465
1418098	1418098	0
4269	4269	227
883663	883663	26
15620	15620	123
